i    j    k    brain       skull       skin        outside     
1    18   21   0.283203    0.252930    0.278809    0.185059    
1    18   14   1.000000    0.000000    0.000000    0.000000    
1    18   19   0.886719    0.112793    0.000488    0.000000    
1    18   16   1.000000    0.000000    0.000000    0.000000    
1    18   18   0.994141    0.005859    0.000000    0.000000    
1    18   23   0.000000    0.000000    0.026367    0.973633    
1    18   22   0.012695    0.129883    0.252441    0.604980    
1    18   17   1.000000    0.000000    0.000000    0.000000    
1    18   20   0.611816    0.252441    0.132324    0.003418    
1    18   15   1.000000    0.000000    0.000000    0.000000    
1    19   9    0.000000    0.031250    0.157715    0.811035    
1    19   10   0.095703    0.256348    0.271973    0.375977    
1    19   12   0.678711    0.244629    0.076660    0.000000    
1    19   11   0.402832    0.265625    0.245605    0.085938    
1    19   13   0.871094    0.127441    0.001465    0.000000    
1    19   16   0.994629    0.005371    0.000000    0.000000    
1    19   20   0.414062    0.259766    0.250977    0.075195    
1    19   15   0.995605    0.004395    0.000000    0.000000    
1    19   14   0.980469    0.019531    0.000000    0.000000    
1    19   18   0.885254    0.114258    0.000488    0.000000    
1    19   19   0.668457    0.257812    0.073730    0.000000    
1    19   21   0.104980    0.234863    0.256836    0.403320    
1    19   17   0.973633    0.026367    0.000000    0.000000    
1    19   22   0.000000    0.029785    0.161133    0.809082    
1    20   9    0.000000    0.000000    0.029297    0.970703    
1    20   11   0.152832    0.266602    0.254395    0.326172    
1    20   12   0.407715    0.276855    0.236816    0.078613    
1    20   16   0.826660    0.163574    0.009766    0.000000    
1    20   10   0.003418    0.089844    0.231934    0.674805    
1    20   15   0.799316    0.192383    0.008301    0.000000    
1    20   13   0.593750    0.282715    0.120605    0.002930    
1    20   14   0.737305    0.226562    0.036133    0.000000    
1    20   17   0.741699    0.231934    0.026367    0.000000    
1    20   22   0.000000    0.000000    0.026855    0.973145    
1    20   18   0.594727    0.272461    0.128418    0.004395    
1    20   21   0.003906    0.090820    0.250000    0.655273    
1    20   20   0.148438    0.268066    0.268555    0.314941    
1    20   19   0.407715    0.280762    0.238770    0.072754    
1    21   10   0.000000    0.000488    0.056152    0.943359    
1    21   11   0.001465    0.080078    0.230957    0.687500    
1    21   13   0.260254    0.265137    0.281250    0.193359    
1    21   17   0.420898    0.264160    0.236328    0.078613    
1    21   16   0.475586    0.273438    0.212891    0.038086    
1    21   15   0.441406    0.306152    0.209961    0.042480    
1    21   14   0.407715    0.279785    0.236816    0.075684    
1    21   18   0.284668    0.246582    0.271973    0.196777    
1    21   12   0.087891    0.231934    0.273438    0.406738    
1    21   19   0.087891    0.232910    0.289551    0.389648    
1    21   20   0.003418    0.090332    0.222656    0.683594    
1    21   21   0.000000    0.001465    0.053223    0.945312    
1    22   11   0.000000    0.000000    0.030273    0.969727    
1    22   14   0.052734    0.210449    0.285645    0.451172    
